Opera;Anno;Genere/Materiale; Estimate p (min) ; Estimate p (Max) ; Hammer p (Hp) ;;;
Senza Titolo;;1; 300 ; 400 ; -   ;;;
Vecchia**;;1; 17.000 ; 17.000 ; -   ;;;
Ragazza Nuda;;0; 48.000 ; 72.000 ; -   ;;;
Figura di Bambi;1901;0; 25.000 ; 30.000 ; -   ;;;
Figura Accovacciata;1949;0; 18.000 ; 22.000 ; -   ;;;
Ragazza col Libro;;0; 60.000 ; 80.000 ; -   ;;;
Nuda;1923;1; 4.200 ; 5.600 ; -   ;;;
Danzatrici (Particolare);1924;1; 18.000 ; 24.000 ; -   ;;;
Ragazza*;1927;1; 9.000 ; 12.000 ; -   ;;;
Due Nudi nel Paesaggio;1939;0; 18.000 ; 24.000 ; -   ;;;
Bozzetto per Ritratto di Fanciullo;1924;0; 20.000 ; 30.000 ; -   ;;;
Nudo nello Studio;1936;0; 30.000 ; 40.000 ; -   ;;;
Figura Femminile in inter;;1; 5.000 ; 7.000 ; -   ;;;
Figura Femminile Carponi;1918;1; 9.000 ; 12.000 ; -   ;;;
Nudo di Donna ;1949;1; 8.000 ; 10.000 ; -   ;;;
ttur;1959;0; 4.000 ; 6.000 ; -   ;;;
Boucherie;;0; 20.000 ; 30.000 ; -   ;;;
Vecchia*;;1; 20.000 ; 25.000 ; -   ;;;
Maternità;1962;1; 500 ; 700 ; -   ;;;
Senza Titolo;;0; 16.000 ; 18.000 ; -   ;;;
Traveler with Flowers**;;0; 1.500 ; 2.500 ; -   ;;;
Figura Femminile;1939;1; 4.000 ; 5.000 ; -   ;;;
Eclissi di Luna o Paralleli;1949;0; 90.000 ; 100.000 ; -   ;;;
Due Donne al Bag;1926;0; 22.000 ; 30.000 ; -   ;;;
Due Figure;;1; 8.000 ; 12.000 ; -   ;;;
Due Figure Femminili;;1; 6.000 ; 8.000 ; -   ;;;
Busto;1952;1; 2.000 ; 3.000 ; -   ;;;
Figura Femminile;;1; 5.000 ; 6.000 ; -   ;;;
Il Gelo;1950;0; 180.000 ; 220.000 ; -   ;;;
I Gemelli;1940;0; 80.000 ; 120.000 ; -   ;;;
Le Bagnanti;1959;0; 8.000 ; 12.000 ; -   ;;;
Illustrazione per un'Opera Teatrale;1934;0; 15.000 ; 23.000 ; -   ;;;
Traveler with Flowers*;;1; 1.920 ; 3.850 ; -   ;;;
Finestra sul Lago;1949;0; 20.000 ; 30.000 ; -   ;;;
Natura Morta con Cesto di Pere;;0; 28.000 ; 32.000 ; -   ;;;
Paesaggio; ;0; 14.000 ; 16.000 ; -   ;;;
Uova e Limoni;1962;0; 45.000 ; 50.000 ; -   ;;;
Il Filosofo con Castello**;;0; 18.000 ; 20.000 ; -   ;;;
Ragazza Distesa;1957;0; 12.500 ; 17.000 ; -   ;;;
Traveler with Flowers;;1; 2.800 ; 4.800 ; -   ;;;
Donna che Legge;1957;1; 8.000 ; 12.000 ; -   ;;;
Dormiente;1922;0; 12.000 ; 18.000 ; -   ;;;
Uova sul Muro;;0; 35.000 ; 50.000 ; -   ;;;
Uova e Genziane*;1960;0; 25.000 ; 30.000 ; -   ;;;
Ritratto di Alberto Orefice e della Madre;1952;0; 60.000 ; 90.000 ; -   ;;;
Nudo;1928;0; 80.000 ; 120.000 ; -   ;;;
Half-Length Figure from the Front;1943;1; 2.700 ; 3.000 ; -   ;;;
Antilettera;1944;1; 800 ; 1.200 ; -   ;;;
Figura e Natura Morta*;1956;0; 70.000 ; 90.000 ; -   ;;;
Nudo nella Stanza;1934;0; 55.000 ; 85.000 ; -   ;;;
Cerere I ;1933;0; 150.000 ; 200.000 ; -   ;;;
Nudo Dormiente;1962;0; 30.000 ; 40.000 ; -   ;;;
Halbfigur von vorne;1943;1; 5.000 ; 6.000 ; -   ;;;
Nudo Femminile;1923;1; 6.000 ; 8.000 ; -   ;;;
Litografie;1946;1; 18.000 ; 24.000 ; -   ;;;
Pere Verdi (con Dormiente);1956;0; 90.000 ; 130.000 ; -   ;;;
Paese Ligure;1928;0; 180.000 ; 200.000 ; -   ;;;
Addormentate;1957;0; 30.000 ; 40.000 ; -   ;;;
Progetto per Fontana;;1; 6.000 ; 8.000 ; -   ;;;
Il Filosofo davanti al Castello*;;0; 9.000 ; 12.000 ; -   ;;;
Fanciulla Seduta allo Specchio;1938;0; 35.000 ; 50.000 ; -   ;;;
Le Case Popolari;1952;0; 70.000 ; 100.000 ; -   ;;;
Uova e Genziane;1960;0; 30.000 ; 40.000 ; -   ;;;
ttur con Figure;;0; 30.000 ; 40.000 ; -   ;;;
Viola, Uova e Flauto;1962;0; 32.000 ; 34.000 ; -   ;;;
In Dolce Abbando;1945;1; 12.000 ; 15.000 ; -   ;;;
Figurini per Costumi Teatrali;1942;0; 3.000 ; 4.000 ; -   ;;;
Fanciulla Seduta;;0; 15.500 ; 15.500 ; -   ;;;
Ritratto di Giovane;1912;0; 12.000 ; 18.000 ; -   ;;;
Due Teste e Carte da Gioco;1946;0; 90.000 ; 120.000 ; -   ;;;
Nudo Seduto  ;1925;1; 8.000 ; 12.000 ; -   ;;;
Ritratto di Raja con Paesaggio;1925;0; 50.000 ; 60.000 ; -   ;;;
Paesaggio;1924;0; 30.000 ; 40.000 ; -   ;;;
Pavarolo;1935;0; 30.000 ; 40.000 ; -   ;;;
Tre Donne. Il Cucito, la Lettura;1928;0; 40.000 ; 60.000 ; -   ;;;
Nudo Femminile Seduto;;1; 11.000 ; 13.000 ; -   ;;;
Ragazza nello Studio;;0; 48.000 ; 55.000 ; -   ;;;
Nudo DIsteso;1922;0; 18.000 ; 25.000 ; -   ;;;
1 Rosso;;1; 5.500 ; 7.500 ; -   ;;;
Autoritratto;1906;0; 45.000 ; 50.000 ; -   ;;;
Invito alla Danza;1928;0; 50.000 ; 55.000 ; -   ;;;
L'Incontro con la Musica;1924;1; 20.000 ; 30.000 ; -   ;;;
Donna con Arco*;;1; 20.000 ; 30.000 ; -   ;;;
La Dormiente*;1924;1; 20.000 ; 30.000 ; -   ;;;
Scena per un'Opera;1934;0; 15.000 ; 20.000 ; -   ;;;
Nudi (In Piedi) nel Bosco;1961;0; 35.000 ; 45.000 ; -   ;;;
Donna con Brocca;1930;1; 5.000 ; 7.000 ; -   ;;;
Nudo Disteso;1945;1; 4.500 ; 7.500 ;;;;
Nudi nello Studio*;1948;1;;;;;;
Natura Morta con la Maschera Rossa;1943;0; 30.000 ; 40.000 ;;;;
La Madre (Maternità)*;1952;0; 40.000 ; 70.000 ;;;;
